"Samplin                                                                                                                                                                                Fecal         Total                      Bicarbonate                                   Total                                                                                                    Total Dissolved"
"Dissolved O2           Conductivity     BOD     NitrateN                                 Carbonate                 Turbidity   Phenolphthalein                  Chlorides COD    Ammonical-N   Total Hardness   Ca as CaCo3   Mg as CaCo3   Sulphate Sodium                     Phosphate              Potassium"
"g                 Name Of Monitoring Location                                    Use Based Class                                     pH                                            Coliform      Coliform                     (HCO3-)                                    Alkalinity                                                                                                      Solids                 Boron (mg/L)           Fluoride (mg/L)"
"(mg/L)            (&micro;mho/cm)   (mg/L)    (mg/L)                                (CO3-) (mg/L)                (mg/L)     Alkalinity (mg/L)                 (mg/L) (mg/L)     (mg/L)          (mg/L)          (mg/L)       (mg/L)       (mg/L) (mg/L)                       (mg/L)                 (mg/L)"
"Month                                                                                                                                                                              (MPN/100ml)   (MPN/100ml)                     (mg/L)                                     (mg/L)                                                                                                        (mg/L)"
"Jul     DHOREKERE TANK                                       E (Irrigation, industrial cooling and controlled waste)        3         7.4         446           20        1.3         1700          24000        3(BDL)          124        38.5          5(BDL)             124          68     199         3.6           116             64             52          7       45           306         0.2(BDL)     0.5(BDL)       6        0.2(BDL)"
"Jul     SHIVAPURA TANK                                       E (Irrigation, industrial cooling and controlled waste)    0.3(BDL)      6.7        1954           78        31       1300000        3500000        3(BDL)          416        28.9          5(BDL)             416         508     254         5.2           496            252            244         74      201          1330              8       0.5(BDL)      24            0.5"
"Jul     MADHURE TANK                                         D (Propagation of wild life,fisheries)                        4.1        7.3        1127           10        20          2600          35000        3(BDL)          196         9.2          5(BDL)             196         216      88        0.82           252            132            120         17       98           764            0.24      0.5(BDL)      27           0.35"
"Jul     TUBARAHALLI TANK                                     D (Propagation of wild life,fisheries)                        4.3         7          639          4.3         2          4000          35000        3(BDL)          100         3.4          5(BDL)             100         128      80         0.4           152             80             72          6       84           440         0.2(BDL)     0.5(BDL)      11        0.2(BDL)"
"Jul     YELAHANKA TANK                                       D (Propagation of wild life,fisheries)                        4.1         7          626           11        1.8          310           9200        3(BDL)          116        25.4          5(BDL)             116          96     105        0.94           108             60             48          7       79           428         0.2(BDL)     0.5(BDL)      14           0.27"
"Jul     BYRASANDRA TANK                                      D (Propagation of wild life,fisheries)                         4         7.4         744            4         2          4700          54000        3(BDL)          156         10           5(BDL)             156         108      44         0.4           256            132            124       5(BDL)    145           520         0.2(BDL)     0.5(BDL)      16            0.3"
"Jul     KALKERE TANK                                         D (Propagation of wild life,fisheries)                        4.2         7         1272           11         5          8400          92000        3(BDL)          352         29           5(BDL)             352         316     104         0.4           308            160            148         12      126           864              2       0.5(BDL)      32            0.3"
"Jul     MADIWALA TANK                                        D (Propagation of wild life,fisheries)                        5.8        7.3         972            5         3          4000          35000        3(BDL)          236        20.5          5(BDL)             236         120      60        0.54           224            120            104         14       95           652              1       0.5(BDL)      30           0.27"
"Jul     CHANDAPURA LAKE                                      E (Irrigation, industrial cooling and controlled waste)    0.3(BDL)       7         2390           25        7.3       220000        2400000        3(BDL)          620         8.2          5(BDL)             620         408     313         4.6           648            328            320         30      199          1630            1.24      0.5(BDL)      21           0.84"
"Jul     RAYASANDRA LAKE                                      E (Irrigation, industrial cooling and controlled waste)       3.3        7.1        1880           18         4         46000         350000        3(BDL)          500         9.1          5(BDL)             500         352     207          4            532            272            260         24      174          1280              3       0.5(BDL)      19           0.21"
"Jul     BEGUR TANK                                           D (Propagation of wild life,fisheries)                        4.3         7          552            9         2          4900          92000        3(BDL)           84         6.1          5(BDL)              84          84      88        0.75           152             80             17       5(BDL)     73           380         0.2(BDL)     0.5(BDL)      16        0.2(BDL)"
"Jul     NAYANDANAHALLI TANK                                  D (Propagation of wild life,fisheries)                        4.2        8.1         963           10        2.8         1700          92000        3(BDL)          272        14.3          5(BDL)             272         148     101         0.9           260            136            124         15       94           656             0.4      0.5(BDL)      12           0.36"
"Jul     JIGANI TANK                                          D (Propagation of wild life,fisheries)                        5.2        7.5         817            4       3.13          320          16000        3(BDL)          184         4.8          5(BDL)             184         136      40         0.4           216            112            104         33       76           568         0.2(BDL)     0.5(BDL)      16           0.26"
"Jul     DASARAHALLI TANK                                     D (Propagation of wild life,fisheries)                        4.8        6.6         412            4       1.59         2200          24000        3(BDL)           88        26.1          5(BDL)              88          68      40        0.75           108             60             48         17       40           288            0.22      0.5(BDL)       8        0.2(BDL)"
"Jul     RAMAMMANA KERE                                       D (Propagation of wild life,fisheries)                        4.4        6.9        1696            5       6.53         4100          35000        3(BDL)          388        19.2          5(BDL)             388         284      45        0.91           460            236            224         69      140          1188            0.92      0.5(BDL)      34           0.39"
"Jul     YEDIYUR TANK                                         D (Propagation of wild life,fisheries)                        4.5        7.6         245            4         1          3400          35000        3(BDL)           48        11.2          5(BDL)              48          40      42        0.76            60             36             24         10       21           170         0.2(BDL)     0.5(BDL)       5        0.2(BDL)"
"Jul     KEMPAMBUDHI TANK                                     E (Irrigation, industrial cooling and controlled waste)        3         6.9         435           14       1.68         1700          24000        3(BDL)           92         8.1          5(BDL)              92          72     121         2.9           116             64             52         18       40           302            0.29      0.5(BDL)       9           0.28"
"Jul     LALBAGH TANK                                         E (Irrigation, industrial cooling and controlled waste)       3.1        7.2         470           13       1.81          330           9200        3(BDL)          104         6.2          5(BDL)             104          76     120         2.7           124             68             56         19       45           328         0.2(BDL)     0.5(BDL)       9           0.33"
"Jul     Narasipura Lake                                      D (Propagation of wild life,fisheries)                        4.3        6.9         527            9       1.12          490          16000        3(BDL)          156         8.6          5(BDL)             156          68     117       0.226           132             72             60         16       58           360         0.2(BDL)     0.5(BDL)      10        0.2(BDL)"
"Jul     Rachenahalli Lake                                    D (Propagation of wild life,fisheries)                         5         6.8        1111            7         2          4600          54000        3(BDL)          276        16.5          5(BDL)             276         168      83       0.438           280            144            136         26      103           760             1.5      0.5(BDL)      29          0.212"
"Jul     Kogilu Lake                                          D (Propagation of wild life,fisheries)                        4.2        6.9         526            9        1.1          430           9200        3(BDL)          156        13.7          5(BDL)             156          70     113         0.4           160             84             76         12       57           360            1.22      0.5(BDL)      13        0.2(BDL)"
"Jul     Gubbalala Lake                                       D (Propagation of wild life,fisheries)                        4.8        6.9         380            6        0.7         3300          54000        3(BDL)          140        10.3          5(BDL)             140          36      71         0.4           144             76             68         11       28           260         0.2(BDL)     0.5(BDL)       3        0.2(BDL)"
"Jul     Subramanyapura Lake                                  D (Propagation of wild life,fisheries)                        4.3        7.1         732            5        1.4         5800          92000        3(BDL)          196        12.1          5(BDL)             196         100      66         0.4           220            116            104         26       79           502         0.2(BDL)     0.5(BDL)      13        0.2(BDL)"
"Jul     Devarakere Lake                                      D (Propagation of wild life,fisheries)                        4.4        6.7         320            5       0.63         4000          35000        3(BDL)          120         2.1          5(BDL)             120          32      46         0.2           128             68             60          4       27           220            0.27      0.5(BDL)       3        0.2(BDL)"
""
